id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRALLEGO9004152,en_service,libre,2025-06-06T16:44:21Z,,,,
FRALLEGO9004151,en_service,libre,2025-06-06T16:37:33Z,,,,
FRALLEGO9004072,en_service,occupe,2025-06-06T16:43:38Z,,,,
FRALLEGO9004071,en_service,libre,2025-06-06T16:41:16Z,,,,
FRALLEGO9990071,en_service,occupe,2025-06-06T16:20:14Z,,,,
FRALLEGO9990072,en_service,occupe,2025-06-06T15:52:17Z,,,,
FRALLEGO9990081,en_service,libre,2025-06-06T16:51:41Z,,,,
FRALLEGO9990082,en_service,occupe,2025-06-06T16:16:01Z,,,,
FRALLEGO9005291,en_service,libre,2025-06-06T16:33:07Z,,,,
FRALLEGO9005292,en_service,libre,2025-06-06T16:34:46Z,,,,
FRALLEGO9000201,en_service,libre,2025-06-06T16:53:00Z,,,,
FRALLEGO9000202,en_service,libre,2025-06-06T14:58:04Z,,,,
FRALLEGO9001162,en_service,occupe,2025-06-06T16:39:48Z,,,,
FRALLEGO9001161,en_service,libre,2025-06-06T16:10:00Z,,,,
FRALLEGO9000422,en_service,occupe,2025-06-06T16:25:52Z,,,,
FRALLEGO9000421,en_service,libre,2025-06-06T16:25:33Z,,,,
FRALLEGO9009081,en_service,libre,2025-06-06T16:50:41Z,,,,
FRALLEGO9009082,en_service,libre,2025-06-06T16:52:10Z,,,,
FRALLEGO0001121,en_service,libre,2025-04-01T20:57:27Z,,,,
FRALLEGO0001481,en_service,libre,2025-06-05T21:08:27Z,,,,
FRALLEGO9005492,en_service,occupe,2025-06-06T16:20:34Z,,,,
FRALLEGO9005491,en_service,libre,2025-06-06T16:20:45Z,,,,
FRALLEGO9002142,en_service,occupe,2025-06-06T16:33:07Z,,,,
FRALLEGO9002141,en_service,libre,2025-06-06T16:01:34Z,,,,
FRALLEGO9005552,en_service,libre,2025-06-06T16:12:23Z,,,,
FRALLEGO9005551,en_service,libre,2025-06-06T16:54:54Z,,,,
FRALLEGO9002501,en_service,libre,2025-06-06T14:01:31Z,,,,
FRALLEGO9002503,en_service,libre,2025-06-06T15:27:31Z,,,,
FRALLEGO9002502,en_service,libre,2025-06-05T19:26:41Z,,,,
FRALLEGO9002132,en_service,occupe,2025-06-06T16:54:32Z,,,,
FRALLEGO9002131,en_service,libre,2025-06-06T16:06:38Z,,,,
FRALLEGO0000121,en_service,occupe,2025-05-22T12:32:55Z,,,,
FRALLEGO9005562,en_service,occupe,2025-06-06T16:23:03Z,,,,
FRALLEGO9005561,en_service,occupe,2025-06-06T16:56:05Z,,,,
FRALLEGO9003271,en_service,occupe,2025-06-06T16:41:28Z,,,,
FRALLEGO9002532,en_service,libre,2025-06-05T19:06:15Z,,,,
FRALLEGO9005501,en_service,occupe,2025-06-06T16:16:27Z,,,,
FRALLEGO9003272,en_service,libre,2025-06-05T19:06:15Z,,,,
FRALLEGO9002531,en_service,libre,2025-06-05T19:06:15Z,,,,
FRALLEGO9002533,en_service,libre,2025-06-06T14:53:48Z,,,,
FRALLEGO9005502,en_service,libre,2025-06-06T08:49:21Z,,,,
FRALLEGO9001932,en_service,libre,2025-06-06T16:24:51Z,,,,
FRALLEGO9001931,en_service,libre,2025-06-06T15:04:36Z,,,,
FRALLEGO9003301,en_service,libre,2025-06-06T16:43:56Z,,,,
FRALLEGO9000062,hors_service,inconnu,2025-06-06T13:17:47Z,,,,
FRALLEGO9000071,en_service,occupe,2025-06-06T16:47:30Z,,,,
FRALLEGO9002402,en_service,libre,2025-06-06T15:37:37Z,,,,
FRALLEGO9002391,en_service,libre,2025-06-06T16:22:26Z,,,,
FRALLEGO9002392,en_service,libre,2025-06-06T12:53:26Z,,,,
FRALLEGO9003302,en_service,libre,2025-06-06T16:59:27Z,,,,
FRALLEGO9000061,en_service,occupe,2025-06-06T16:09:48Z,,,,
